Running on host gpu011
Using 8 Julia threads
Starting at Thu Apr  2 10:27:30 CEST 2026
Loading Modules
Finished Loading Modules
Running Lux_AE_train.jl

Training AE for 1000 epochs with λdiv=1000.0, λcurl=100.0)
Epoch 79/1000 | time=1.398s | train_loss=1.2005 | train_corr=(0.573, 0.233) | val_loss=1.1892 | val_corr=(0.576, 0.233) | test_loss=1.1864 | test_corr=(0.575, 0.236)
Epoch 80/1000 | time=1.386s | train_loss=1.1637 | train_corr=(0.583, 0.248) | val_loss=1.2068 | val_corr=(0.576, 0.233) | test_loss=1.204 | test_corr=(0.575, 0.235)
Epoch 81/1000 | time=1.384s | train_loss=1.2194 | train_corr=(0.572, 0.224) | val_loss=1.2061 | val_corr=(0.576, 0.234) | test_loss=1.2035 | test_corr=(0.575, 0.236)
Epoch 82/1000 | time=1.384s | train_loss=1.1975 | train_corr=(0.581, 0.238) | val_loss=1.2219 | val_corr=(0.576, 0.234) | test_loss=1.219 | test_corr=(0.575, 0.237)
Epoch 83/1000 | time=1.371s | train_loss=1.2023 | train_corr=(0.582, 0.242) | val_loss=1.2137 | val_corr=(0.575, 0.235) | test_loss=1.2109 | test_corr=(0.574, 0.237)
Epoch 84/1000 | time=1.388s | train_loss=1.2426 | train_corr=(0.576, 0.23) | val_loss=1.2378 | val_corr=(0.577, 0.235) | test_loss=1.235 | test_corr=(0.576, 0.238)
Epoch 85/1000 | time=1.387s | train_loss=1.1762 | train_corr=(0.579, 0.238) | val_loss=1.1841 | val_corr=(0.576, 0.236) | test_loss=1.1815 | test_corr=(0.575, 0.238)
Epoch 86/1000 | time=1.39s | train_loss=1.1583 | train_corr=(0.578, 0.224) | val_loss=1.1865 | val_corr=(0.577, 0.237) | test_loss=1.1839 | test_corr=(0.576, 0.238)
Epoch 87/1000 | time=1.39s | train_loss=1.1892 | train_corr=(0.58, 0.241) | val_loss=1.183 | val_corr=(0.578, 0.237) | test_loss=1.1804 | test_corr=(0.577, 0.239)
Epoch 88/1000 | time=1.389s | train_loss=1.1278 | train_corr=(0.594, 0.242) | val_loss=1.1945 | val_corr=(0.578, 0.237) | test_loss=1.192 | test_corr=(0.577, 0.239)
Epoch 89/1000 | time=1.388s | train_loss=1.1795 | train_corr=(0.583, 0.244) | val_loss=1.2002 | val_corr=(0.577, 0.238) | test_loss=1.1976 | test_corr=(0.577, 0.24)
Epoch 90/1000 | time=1.388s | train_loss=1.2032 | train_corr=(0.581, 0.23) | val_loss=1.1853 | val_corr=(0.576, 0.238) | test_loss=1.1828 | test_corr=(0.575, 0.239)
Epoch 91/1000 | time=1.384s | train_loss=1.1916 | train_corr=(0.573, 0.227) | val_loss=1.194 | val_corr=(0.578, 0.239) | test_loss=1.1914 | test_corr=(0.577, 0.24)
Epoch 92/1000 | time=1.39s | train_loss=1.2018 | train_corr=(0.583, 0.245) | val_loss=1.1942 | val_corr=(0.576, 0.237) | test_loss=1.1915 | test_corr=(0.576, 0.239)
Epoch 93/1000 | time=1.384s | train_loss=1.2172 | train_corr=(0.568, 0.232) | val_loss=1.1873 | val_corr=(0.577, 0.239) | test_loss=1.1847 | test_corr=(0.576, 0.241)
Epoch 94/1000 | time=1.379s | train_loss=1.1835 | train_corr=(0.581, 0.236) | val_loss=1.1938 | val_corr=(0.575, 0.24) | test_loss=1.1913 | test_corr=(0.574, 0.241)
Epoch 95/1000 | time=1.305s | train_loss=1.1809 | train_corr=(0.577, 0.255) | val_loss=1.1808 | val_corr=(0.578, 0.24) | test_loss=1.1782 | test_corr=(0.577, 0.242)
